[19:08:48.995] [INFO   ] thread bguspl.set.Main.main() starting.
[19:08:49.007] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:08:49.008] [SEVERE ] configuration file was loaded from resources directory.
[19:08:49.672] [INFO   ] thread dealer starting.
[19:08:49.674] [INFO   ] thread dealer starting.
[19:08:49.675] [INFO   ] thread Thread-1 starting.
[19:08:49.675] [INFO   ] thread Thread-2 starting.
[19:08:49.678] [INFO   ] thread computer-1 starting.
[19:08:49.791] [SEVERE ] placing card 71 in slot 0
[19:08:49.791] [SEVERE ] player 2 placing token on slot 0
[19:08:49.793] [SEVERE ] removing player 2 token from slot 0
[19:08:49.794] [SEVERE ] player 2 placing token on slot 0
[19:08:49.794] [SEVERE ] removing player 2 token from slot 0
[19:08:49.794] [SEVERE ] player 2 placing token on slot 0
[19:08:49.794] [SEVERE ] removing player 2 token from slot 0
[19:08:49.794] [SEVERE ] player 2 placing token on slot 0
[19:08:49.795] [SEVERE ] removing player 2 token from slot 0
[19:08:49.795] [SEVERE ] player 2 placing token on slot 0
[19:08:49.795] [SEVERE ] removing player 2 token from slot 0
[19:08:49.796] [SEVERE ] player 2 placing token on slot 0
[19:08:49.796] [SEVERE ] removing player 2 token from slot 0
[19:08:49.796] [SEVERE ] player 2 placing token on slot 0
[19:08:49.797] [SEVERE ] removing player 2 token from slot 0
[19:08:49.798] [SEVERE ] player 2 placing token on slot 0
[19:08:49.798] [SEVERE ] removing player 2 token from slot 0
[19:08:49.798] [SEVERE ] player 2 placing token on slot 0
[19:08:49.798] [SEVERE ] removing player 2 token from slot 0
[19:08:49.798] [SEVERE ] player 2 placing token on slot 0
[19:08:49.798] [SEVERE ] removing player 2 token from slot 0
[19:08:49.798] [SEVERE ] player 2 placing token on slot 0
[19:08:49.799] [SEVERE ] removing player 2 token from slot 0
[19:08:49.799] [SEVERE ] player 2 placing token on slot 0
[19:08:49.799] [SEVERE ] removing player 2 token from slot 0
[19:08:49.801] [SEVERE ] player 2 placing token on slot 0
[19:08:49.802] [SEVERE ] removing player 2 token from slot 0
[19:08:49.802] [SEVERE ] player 2 placing token on slot 0
[19:08:49.802] [SEVERE ] removing player 2 token from slot 0
[19:08:49.802] [SEVERE ] player 2 placing token on slot 0
[19:08:49.803] [SEVERE ] removing player 2 token from slot 0
[19:08:49.803] [SEVERE ] player 2 placing token on slot 0
[19:08:49.803] [SEVERE ] removing player 2 token from slot 0
[19:08:49.803] [SEVERE ] player 2 placing token on slot 0
[19:08:49.803] [SEVERE ] removing player 2 token from slot 0
[19:08:49.804] [SEVERE ] player 2 placing token on slot 0
[19:08:49.804] [SEVERE ] removing player 2 token from slot 0
[19:08:49.804] [SEVERE ] player 2 placing token on slot 0
[19:08:49.806] [SEVERE ] removing player 2 token from slot 0
[19:08:49.806] [SEVERE ] player 2 placing token on slot 0
[19:08:49.806] [SEVERE ] removing player 2 token from slot 0
[19:08:49.806] [SEVERE ] player 2 placing token on slot 0
[19:08:49.806] [SEVERE ] removing player 2 token from slot 0
[19:08:49.806] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.807] [SEVERE ] removing player 2 token from slot 0
[19:08:49.807] [SEVERE ] player 2 placing token on slot 0
[19:08:49.809] [SEVERE ] removing player 2 token from slot 0
[19:08:49.810] [SEVERE ] player 2 placing token on slot 0
[19:08:49.810] [SEVERE ] removing player 2 token from slot 0
[19:08:49.810] [SEVERE ] player 2 placing token on slot 0
[19:08:49.810] [SEVERE ] removing player 2 token from slot 0
[19:08:49.811] [SEVERE ] player 2 placing token on slot 0
[19:08:49.811] [SEVERE ] removing player 2 token from slot 0
[19:08:49.811] [SEVERE ] player 2 placing token on slot 0
[19:08:49.811] [SEVERE ] removing player 2 token from slot 0
[19:08:49.812] [SEVERE ] player 2 placing token on slot 0
[19:08:49.812] [SEVERE ] removing player 2 token from slot 0
[19:08:49.812] [SEVERE ] player 2 placing token on slot 0
[19:08:49.812] [SEVERE ] removing player 2 token from slot 0
[19:08:49.812] [SEVERE ] player 2 placing token on slot 0
[19:08:49.813] [SEVERE ] removing player 2 token from slot 0
[19:08:49.813] [SEVERE ] player 2 placing token on slot 0
[19:08:49.813] [SEVERE ] removing player 2 token from slot 0
[19:08:49.813] [SEVERE ] player 2 placing token on slot 0
[19:08:49.814] [SEVERE ] removing player 2 token from slot 0
[19:08:49.814] [SEVERE ] player 2 placing token on slot 0
[19:08:49.814] [SEVERE ] removing player 2 token from slot 0
[19:08:49.815] [SEVERE ] player 2 placing token on slot 0
[19:08:49.815] [SEVERE ] removing player 2 token from slot 0
[19:08:49.815] [SEVERE ] player 2 placing token on slot 0
[19:08:49.816] [SEVERE ] removing player 2 token from slot 0
[19:08:49.816] [SEVERE ] player 2 placing token on slot 0
[19:08:49.816] [SEVERE ] removing player 2 token from slot 0
[19:08:49.816] [SEVERE ] player 2 placing token on slot 0
[19:08:49.816] [SEVERE ] removing player 2 token from slot 0
[19:08:49.816] [SEVERE ] player 2 placing token on slot 0
[19:08:49.817] [SEVERE ] removing player 2 token from slot 0
[19:08:49.817] [SEVERE ] player 2 placing token on slot 0
[19:08:49.817] [SEVERE ] removing player 2 token from slot 0
[19:08:49.818] [SEVERE ] player 2 placing token on slot 0
[19:08:49.818] [SEVERE ] removing player 2 token from slot 0
[19:08:49.818] [SEVERE ] player 2 placing token on slot 0
[19:08:49.819] [SEVERE ] removing player 2 token from slot 0
[19:08:49.819] [SEVERE ] player 2 placing token on slot 0
[19:08:49.820] [SEVERE ] removing player 2 token from slot 0
[19:08:49.820] [SEVERE ] player 2 placing token on slot 0
[19:08:49.820] [SEVERE ] removing player 2 token from slot 0
[19:08:49.820] [SEVERE ] player 2 placing token on slot 0
[19:08:49.821] [SEVERE ] removing player 2 token from slot 0
[19:08:49.821] [SEVERE ] player 2 placing token on slot 0
[19:08:49.822] [SEVERE ] removing player 2 token from slot 0
[19:08:49.822] [SEVERE ] player 2 placing token on slot 0
[19:08:49.823] [SEVERE ] removing player 2 token from slot 0
[19:08:49.823] [SEVERE ] player 2 placing token on slot 0
[19:08:49.823] [SEVERE ] removing player 2 token from slot 0
[19:08:49.823] [SEVERE ] player 2 placing token on slot 0
[19:08:49.823] [SEVERE ] removing player 2 token from slot 0
[19:08:49.823] [SEVERE ] player 2 placing token on slot 0
[19:08:49.824] [SEVERE ] removing player 2 token from slot 0
[19:08:49.824] [SEVERE ] player 2 placing token on slot 0
[19:08:49.824] [SEVERE ] removing player 2 token from slot 0
[19:08:49.825] [SEVERE ] player 2 placing token on slot 0
[19:08:49.825] [SEVERE ] removing player 2 token from slot 0
[19:08:49.825] [SEVERE ] player 2 placing token on slot 0
[19:08:49.825] [SEVERE ] removing player 2 token from slot 0
[19:08:49.825] [SEVERE ] player 2 placing token on slot 0
[19:08:49.827] [SEVERE ] removing player 2 token from slot 0
[19:08:49.827] [SEVERE ] player 2 placing token on slot 0
[19:08:49.827] [SEVERE ] removing player 2 token from slot 0
[19:08:49.828] [SEVERE ] player 2 placing token on slot 0
[19:08:49.828] [SEVERE ] removing player 2 token from slot 0
[19:08:49.828] [SEVERE ] player 2 placing token on slot 0
[19:08:49.828] [SEVERE ] removing player 2 token from slot 0
[19:08:49.828] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.829] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.829] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.829] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.829] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.829] [SEVERE ] player 2 placing token on slot 0
[19:08:49.829] [SEVERE ] removing player 2 token from slot 0
[19:08:49.830] [SEVERE ] player 2 placing token on slot 0
[19:08:49.830] [SEVERE ] removing player 2 token from slot 0
[19:08:49.831] [SEVERE ] player 2 placing token on slot 0
[19:08:49.831] [SEVERE ] removing player 2 token from slot 0
[19:08:49.831] [SEVERE ] player 2 placing token on slot 0
[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.832] [SEVERE ] player 2 placing token on slot 0
[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.832] [SEVERE ] player 2 placing token on slot 0
[19:08:49.832] [SEVERE ] removing player 2 token from slot 0
[19:08:49.833] [SEVERE ] player 2 placing token on slot 0
[19:08:49.833] [SEVERE ] removing player 2 token from slot 0
[19:08:49.833] [SEVERE ] player 2 placing token on slot 0
[19:08:49.833] [SEVERE ] removing player 2 token from slot 0
[19:08:49.834] [SEVERE ] player 2 placing token on slot 0
[19:08:49.834] [SEVERE ] removing player 2 token from slot 0
[19:08:49.834] [SEVERE ] player 2 placing token on slot 0
[19:08:49.834] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
[19:08:49.835] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
[19:08:49.835] [SEVERE ] removing player 2 token from slot 0
[19:08:49.835] [SEVERE ] player 2 placing token on slot 0
